Hundename,Original_Hundename,Score,EpiProgeny
Bellever Dilly,Bellever Dilly,"0,125","Anthony Kenneth from Grannies Garden, Deep Impact As Nike"
Tabatha's Tassel,BISS AmCH Tabatha's Tassel,"0,125","Aprilmist Feat Wandoris, APRILMIST FLATLINER"
Empress Bigskys Blood And Guts,AmCH Empress Bigskys Blood And Guts,"0,125","Aprilmist Feat Wandoris, APRILMIST FLATLINER"
Tabatha's Token Talent,Tabatha's Token Talent WC,"0,125","Aprilmist Feat Wandoris, APRILMIST FLATLINER"
Venetian Blender De Chablais,Am/CanCH Venetian Blender De Chablais,"0,125","Aprilmist Feat Wandoris, APRILMIST FLATLINER"
ablais Anna Brown,Chablais Anna Brown,"0,125","Aprilmist Feat Wandoris, APRILMIST FLATLINER"
ablais Momento,CanCH Chablais Momento,"0,125","Aprilmist Feat Wandoris, APRILMIST FLATLINER"
ablais Lily Fatale,Chablais Lily Fatale,"0,125","Aprilmist Feat Wandoris, APRILMIST FLATLINER"
Tabatha's Siren,Tabatha's Siren WC,"0,125","Aprilmist Feat Wandoris, APRILMIST FLATLINER"
Naiken Indian Temple MH,AmCH Naiken Indian Temple MH,"0,125","Aprilmist Feat Wandoris, APRILMIST FLATLINER"
Jenivelle's Princess Tyonek,Jenivelle's Princess Tyonek,"0,125","Aprilmist Feat Wandoris, APRILMIST FLATLINER"
Buckholt Chelone,Buckholt Chelone,"0,125","Aprilmist Feat Wandoris, APRILMIST FLATLINER"
Mallorn's Valentine,Mallorn's Valentine,"0,125","Aprilmist Feat Wandoris, APRILMIST FLATLINER"
Mallorn's Cafe au Lait,Mallorn's Cafe au Lait,"0,125","Aprilmist Feat Wandoris, APRILMIST FLATLINER"
Visions I'm Able,AM CH Visions I'm Able,"0,125","Aprilmist Feat Wandoris, APRILMIST FLATLINER"
Every Breath,Sidewild Every Breath,"0,125","Aprilmist Feat Wandoris, APRILMIST FLATLINER"
Oulsmi This Time Around,Oulsmi This Time Around,"0,125",Armani Damon vom Asbrookdamm
Storm Warning,Gowanvale Storm Warning,"0,125",Armani Damon vom Asbrookdamm
Flanders Pride Vivaldi,Flanders Pride Vivaldi,"0,125",Armani Damon vom Asbrookdamm
Brambleridge Top of the Bill,Brambleridge Top of the Bill,"0,125",Armani Damon vom Asbrookdamm
Tjotte's Showsteady,Norw.CH. Tjotte's Showsteady,"0,125",Armani Damon vom Asbrookdamm
Nonairbra Me Again At Thurbajen,C.C.W. Nonairbra Me Again At Thurbajen,"0,125",Armani Damon vom Asbrookdamm
Gilh�j's Bing Bosky,Dk.Ch. Gilh�j's Bing Bosky,"0,125","As Game As Ermara, Hardrocks Blue Danube"
Gilh�j's Fru Madsen,Gilh�j's Fru Madsen,"0,125","As Game As Ermara, Hardrocks Blue Danube"
Clementine von der Fredeshoj,Clementine von der Fredeshoj,"0,125","As Game As Ermara, Carson vom Stecknitztal"
Pridelines Classic Lady,FTW Pridelines Classic Lady,"0,125",Batmoors' Apollo Lurgan
Dot of Crosbyrose,Mallowdale Dot of Crosbyrose,"0,125","Batmoors' Apollo Lurgan, Dual's Hope Nicam"
Rivertrees Clip,Rivertrees Clip,"0,125",Bj�ragardens Timmy-Willie
Eatons Hang On To Me,Eatons Hang On To Me,"0,125",Black Bet's Gillie
Kamitan Desibeli,Kamitan Desibeli,"0,125",Black Bet's Gillie
Figaro of Larkville,Lawnwoods Figaro of Larkville,"0,125",Black Bet's Gillie
Mardas Miss Mandy of Melrossa,Mardas Miss Mandy of Melrossa,"0,125",Black Bet's Gillie
Amiraali,"FIN Ch, FIN OCh Amiraali (SF106377/77)","0,125",Black Bet's Gillie
Bettina,Bettina (SF19915X/85),"0,125",Black Bet's Gillie
Hedda,FIN Ch Follytower Hedda,"0,125","Black Bet's Gillie, Brookhill's Crabman"
Ballyduff Ballboy,Ballyduff Ballboy,"0,125","Black Bet's Gillie, Brookhill's Crabman"
Cindys Vesta,SE UCH Cindys Vesta,"0,125","Black Bet's Gillie, Brookhill's Crabman"
Evening Bliss,Nunneyswood Evening Bliss,"0,125",Black Hamlet L for Lake Shasta
Spirit,Nunneyswood Spirit,"0,125",Black Hamlet L for Lake Shasta
Hunt Club Clayview Eli,Hunt Club Clayview Eli,"0,125","Black Hamlet L for Lake Shasta, Just Bertha von der Tarpenbek"
Hunt Club Clayview Burnt Toast,Hunt Club Clayview Burnt Toast,"0,125","Black Hamlet L for Lake Shasta, Just Bertha von der Tarpenbek"
Lubberline Becket,Lubberline Becket,"0,125","Black Hamlet L for Lake Shasta, Just Bertha von der Tarpenbek"
Ballyduff Marshall,Eng.Aust.NZ.Ch. Ballyduff Marshall,"0,125","Blacky vom Alst�tter-Moor, Bundy vom Hof Ibn Safinaz"
Brentville Marcella of Lawnwood,Brentville Marcella of Lawnwood,"0,125","Blacky vom Alst�tter-Moor, Bundy vom Hof Ibn Safinaz"
Hot Chocolate,GB ShCh/AmCH Lawnwood's Hot Chocolate,"0,125","Blacky vom Alst�tter-Moor, Bundy vom Hof Ibn Safinaz"
Tampico,C.C.W. Lawnwood's Tampico,"0,125","Blacky vom Alst�tter-Moor, Bundy vom Hof Ibn Safinaz"
Love In The Mist,Lawnwood's Love In The Mist,"0,125","Blacky vom Alst�tter-Moor, Bundy vom Hof Ibn Safinaz"
Tapestry,Lawnwoods Tapestry,"0,125","Blacky vom Alst�tter-Moor, Bundy vom Hof Ibn Safinaz"
Spinneyhill Lilac of Lawnwood,Spinneyhill Lilac of Lawnwood,"0,125","Blacky vom Alst�tter-Moor, Bundy vom Hof Ibn Safinaz"
Jubilee Brilliance Of Philjay,Jubilee Brilliance Of Philjay,"0,125","Blacky vom Alst�tter-Moor, Bundy vom Hof Ibn Safinaz"
Mementos Baccara,Mementos Baccara,"0,125",Brookhill's Crabman
Drizella's Ajannah,NO Ch Drizella's Ajannah,"0,125",Brookhill's Crabman
Medos Scoter of Tweedshot,Medos Scoter of Tweedshot,"0,125","Brufinn Keep Retrieving Doc, Vauhti-Noudon Vauhtineito"
Blackthorn,Windwood Blackthorn,"0,125","Brufinn Keep Retrieving Doc, Streamlight's Grappas Dexter"
Classique Fire And Ice,AmCH Classique Fire And Ice,"0,125",Cannonpowder Penelope
Perfecta,Beechcroft's Perfecta,"0,125",Cannonpowder Penelope
Admiral Moon,Follytower Admiral Moon,"0,125","Cannonpowder Penelope, Fiin Hemuli"
Cassata,SUCH  Fairchilds Cassata,"0,125","Cannonpowder Penelope, Fiin Hemuli"
Poolstead Pick of The Pops,SE UCH FI UCH Poolstead Pick of The Pops,"0,125","Cannonpowder Penelope, Hh's On Duty Cronos"
Flightline Sian of Hamford,FTW Flightline Sian of Hamford,"0,125","Caper Cailie's Ohio, Felice vom Lipperoder Bruch"
Wiltonpark Carousel,FTAW Wiltonpark Carousel,"0,125","Caper Cailie's Ohio, NIINIVUOREN MEREN-SALAISUUS"
Jack of Poolhead,Jack of Poolhead,"0,125",Carson vom Stecknitztal
Lucy of Shavington,Lucy of Shavington,"0,125",Carson vom Stecknitztal
Woodford Ash,"Woodford Ash WT, BHP, BLP, JEP","0,125",Carson vom Stecknitztal
Helena vom Schnelter Bruch,Helena vom Schnelter Bruch,"0,125",Carson vom Stecknitztal
Emma,Massowien Yellow Emma,"0,125",Carson vom Stecknitztal
Gemina Eirene,Gemina Eirene,"0,125",Carson vom Stecknitztal
P B Max,Am.Ch. Campbellcroft P B Max CD JH,"0,125",Cassiopeia vom Hof F?rst
Hunt Club Show Stopper,Hunt Club Show Stopper,"0,125",Cassiopeia vom Hof F?rst
Trendmaker's She's Got The Look,Trendmaker's She's Got The Look,"0,125",Cassiopeia vom Hof F?rst
Brigburn Zenny,UK Ch Brigburn Zenny,"0,125",Cassiopeia vom Hof F?rst
Veyatie Floral Dance,Veyatie Floral Dance,"0,125",Cassiopeia vom Hof F?rst
Orient-Pearl of Lucifers Delight,Orient-Pearl of Lucifers Delight,"0,125",Cassiopeia vom Hof F?rst
Fulbeck Fantail,Fulbeck Fantail,"0,125","Cassiopeia vom Hof F?rst, Gent Fynn from the Old Mansion House"
Haverton Tawny Pipit at Brigburn,Haverton Tawny Pipit at Brigburn,"0,125","Cassiopeia vom Hof F?rst, Gent Fynn from the Old Mansion House"
"Dt., VDH, Int., +sterr. Ch, ES'88 Puhs Brown Autumn","Dt., VDH, Int., +sterr. Ch, ES'88 Puhs Brown Autumn  WT, BHP, BLP","0,125","Cassiopeia vom Hof F?rst, Gulliver of Woodpecker's Lane"
Nougat vom Klingerhuf,Nougat vom Klingerhuf,"0,125",Catch me if you can Happy Carlo
Faible For Alina,Faible For Alina,"0,125",Catch me if you can Happy Carlo
Amber vom Efeu-H�gel,Amber vom Efeu-H�gel,"0,125",Catch me if you can Happy Carlo
Ceasarscreek's Cassandra,Ceasarscreek's Cassandra,"0,125",Catch me if you can Happy Carlo
S Ch Tjotte's Billy the Bruno,S Ch Tjotte's Billy the Bruno,"0,125","Catch me if you can Happy Carlo, Dark Water's Endless Star"
Calcot Lance,Calcot Lance,"0,125",Charway Rainstorm
Manymills Drake,Manymills Drake CDEx,"0,125",Charway Rainstorm
Seashell,Charway Seashell,"0,125",Charway Rainstorm
Palgrave Swinbrook Fern,FTCh Palgrave Swinbrook Fern,"0,125","Charway Rainstorm, Sirmakan Jitterbug"
Beautiful Black Shadow,Beautiful Black Shadow,"0,125","Chilihunters Game Glen, Mandylike's Porsche"
Birdbrook Shadow,Birdbrook Shadow,"0,125","Chilihunters Game Glen, Mandylike's Porsche"
Skeet of Tasco,Skeet of Tasco,"0,125","Chilihunters Over Bridge, Chilihunters Over Trouble"
Sarumvale Nimrod,Sarumvale Nimrod,"0,125","Chilihunters Over Bridge, Chilihunters Over Trouble"
Gemma Lains,Gemma Lains,"0,125","Chilihunters Over Bridge, Chilihunters Over Trouble"
Pridelines Rustler of Artistryn,Pridelines Rustler of Artistryn,"0,125","Chilihunters Over Bridge, Chilihunters Over Trouble"
Kentee Ruby Tuesday of Eastdale,Kentee Ruby Tuesday of Eastdale,"0,125","Chilihunters Over Bridge, Chilihunters Over Trouble"
Sheriff Tessa,Sheriff Tessa,"0,125",Chilihunters Pro Hazy
Linnet,Hawbridge Linnet,"0,125",Chilihunters Pro Hazy
Sarumvale Nestor,Sarumvale Nestor,"0,125","Chilihunters Pro Hazy, Reedsweeper's Desna"
Bonnie Gemma of Boulsbury,Bonnie Gemma of Boulsbury,"0,125","Chilihunters Pro Hazy, Reedsweeper's Desna"
Kimblederry Peppermint,Kimblederry Peppermint,"0,125",Cliff vom Zwillbrocker Venn
Buck of Westhala,FTCh Browtine Buck of Westhala,"0,125",Cliff vom Zwillbrocker Venn
India von Ohrfeld,India von Ohrfeld,"0,125",Clinton vom Hembeck
Sandylands Off Beat,Ch Sandylands Off Beat,"0,125",Clinton vom Hembeck
Ruselton Gussie Marlowe,Ruselton Gussie Marlowe,"0,125",Clinton vom Hembeck
Like'ims Quick Flyer,Like'ims Quick Flyer,"0,125","Clinton vom Hembeck, King von der Bleiburg"
Nelly,Minnows Nelly,"0,125","Clinton vom Hembeck, King von der Bleiburg"
Kenmilltri Quartz,Kenmilltri Quartz,"0,125",Cosmic Cover's Mill's Jaywalker
Danestone Sasha of Denbrig,FTW Danestone Sasha of Denbrig,"0,125",Cosmic Cover's Mill's Jaywalker
Tullibole Tess of Denbrig,FTCh Tullibole Tess of Denbrig,"0,125",Cosmic Cover's Mill's Jaywalker
Craighorn Garry,FTCh Craighorn Garry,"0,125","Cosmic Cover's Mill's Jaywalker, Tealshead Bracken"
Wingsham Tinder of Smithsteads,FTCh Wingsham Tinder of Smithsteads,"0,125",COSMIC COVER'S WIN CALL TO FIND OUT
Rosemary,FTCh Brockweir Rosemary,"0,125",COSMIC COVER'S WIN CALL TO FIND OUT
Dealminster Dancer,FTW Dealminster Dancer,"0,125",COSMIC COVER'S WIN CALL TO FIND OUT
Hoffbank Ferdy,Hoffbank Ferdy,"0,125",COSMIC COVER'S WIN CALL TO FIND OUT
Levenghyl Silvercloud Of Drakeshead,FTCh Levenghyl Silvercloud Of Drakeshead,"0,125",COSMIC COVER'S WIN CALL TO FIND OUT
Muddymile Dunlin of Bedgebrook,FTW Muddymile Dunlin of Bedgebrook,"0,125",COSMIC COVER'S WIN CALL TO FIND OUT
Tramp,FTW Seasway Tramp,"0,125",COSMIC COVER'S WIN CALL TO FIND OUT
Merry Magnolia,Merry Magnolia,"0,125",COSMIC COVER'S WIN CALL TO FIND OUT
Wiscoys Robin,BISS AmCH Wiscoys Robin,"0,125",Country Companion's Choco Pie
Mar-Moye Georgia Always On My Mind,Multi BISS AmCH Mar-Moye Georgia Always On My Mind,"0,125",Country Companion's Choco Pie
ablais Your Place or Mine,Nl/Lux/De/IntCH Chablais Your Place or Mine,"0,125",Country Companion's Choco Pie
Fardau Fan 'e Kooi-Fenne,Fardau Fan 'e Kooi-Fenne,"0,125",Country Companion's Choco Pie
Wit's Endwindfalflyn Ohyspire,VDH-Ch. Wit's Endwindfalflyn Ohyspire,"0,125",Country Companion's Choco Pie
Miramonte Midnight Orchid,Int. CH Miramonte Midnight Orchid,"0,125",Country Companion's Choco Pie
Annual's The Great Pretender,JCh. Annual's The Great Pretender,"0,125",Country Companion's Choco Pie
Liberty Spirit's Felicity Faith,Liberty Spirit's Felicity Faith,"0,125",Country Companion's Choco Pie
Erinhill's Heybern Debutante,AmCH Erinhill's Heybern Debutante CD JH,"0,125",Country Companion's Choco Pie
Heavenly Eden v.'T Meijelicht,Heavenly Eden v.'T Meijelicht,"0,125",Country Companion's Choco Pie
Penny Royal?s Top Treasure,Penny Royal?s Top Treasure,"0,125",Country Companion's Choco Pie
Ally Mc Beal of the Dutch Highlands,Ally Mc Beal of the Dutch Highlands,"0,125",Country Companion's Choco Pie
Abbeystead Tranquill,GB SHCH Abbeystead Tranquill,"0,125","Country Companion's Choco Pie, Yes we can Flic in France"
Stormley Mackintosh,Stormley Mackintosh,"0,125","Country Companion's Choco Pie, Kebrekato Millenium Star"
Sandylands Gentry,ENG SH CH Sandylands Gentry,"0,125","Crooked Field Action, Eternal Friend's Bright Eyes"
Kimvalley Last Fling,Kimvalley Last Fling,"0,125","Crooked Field Action, Eternal Friend's Bright Eyes"
Daylight's Midnight Raider,Am.Can.Ch. Daylight's Midnight Raider JH,"0,125","Crooked Field Action, Eternal Friend's Bright Eyes"
Briarglen's Paisley Tain,AmCH Briarglen's Paisley Tain,"0,125","Crooked Field Action, Eternal Friend's Bright Eyes"
Sandman,Am CH Northwood Sandman,"0,125","Crooked Field Action, Eternal Friend's Bright Eyes"
Folklaur CGC TDI,AmCH Finchingfield Folklaur CGC TDI,"0,125","Crooked Field Action, Eternal Friend's Bright Eyes"
ingfield Mighty Casey,Finchingfield Mighty Casey,"0,125","Crooked Field Action, Eternal Friend's Bright Eyes"
Linrays Over The Top,AmCH Linrays Over The Top,"0,125","Daisy vom Bosselbacherhof, Dolly vom Bosselbacherhof"
Wiscoys Skyes T'Limit,CanCH Wiscoys Skyes T'Limit,"0,125","Daisy vom Bosselbacherhof, Dolly vom Bosselbacherhof"
Ranbourne This Bud's For You,BISS Can Ch Ranbourne This Bud's For You,"0,125","Daisy vom Bosselbacherhof, Dolly vom Bosselbacherhof"
ablais Make A Wish At Wiscoy,CanCH Chablais Make A Wish At Wiscoy,"0,125","Daisy vom Bosselbacherhof, Dolly vom Bosselbacherhof"
Fieldvalley's Din Kopia,NO UCH Fieldvalley's Din Kopia,"0,125","Daisy vom Bosselbacherhof, Dolly vom Bosselbacherhof"
Fresh Fields Damante Dike,Fresh Fields Damante Dike,"0,125","Daisy vom Bosselbacherhof, Dolly vom Bosselbacherhof"
aus dem Burghaus,Buche aus dem Burghaus,"0,125","Daisy vom Bosselbacherhof, Dolly vom Bosselbacherhof"
Pongo,Pongo (DK 20482/90),"0,125",Dark Water's Endless Star
Ulsoe's Black Ninka,DKCH INTCH Ulsoe's Black Ninka,"0,125",Dark Water's Endless Star
Marengo,DKCH Marengo (23370/84),"0,125",Dark Water's Endless Star
Bettie,Bettie (DK 06663/86),"0,125",Dark Water's Endless Star
Minstead Sweeney,FTW Minstead Sweeney,"0,125",Dimh�jdens Jack Af Barney
Mandacre Blackbird,Mandacre Blackbird,"0,125",Dimh�jdens Jack Af Barney
Ceh-Thors Minka,Ceh-Thors Minka,"0,125",Dimh�jdens Jack Af Barney
Oebakkens Bailey / ?bakkens Bailey,Oebakkens Bailey / ?bakkens Bailey,"0,125",Dimh�jdens Jack Af Barney
Capandus You're Still My Man,Capandus You're Still My Man,"0,125",Dimh�jdens Jack Af Barney
Waterlover Belinda,Waterlover Belinda,"0,125",Dimh�jdens Jack Af Barney
& Sund Black Alice,Fr?sch & Sund Black Alice,"0,125",Dimh�jdens Jack Af Barney
Gartshore Blaise,FTW Gartshore Blaise,"0,125","Dimh�jdens Jack Af Barney, Perdix Gundogs Englishman in New York"
Diant Jaysgreen Jasper,Aus Ch Diant Jaysgreen Jasper,"0,125",Dirk von Stieg
Sandylands Komely of Ardmargha,Sandylands Komely of Ardmargha,"0,125",Dirk von Stieg
Antonia of Rugby,Antonia of Rugby,"0,125",Dirk von Stieg
Liddly Hassan,Liddly Hassan (<1956),"0,125",Dirk von Stieg
Lady Av Oppensten,Lady Av Oppensten,"0,125",Dirk von Stieg
Thyrood Lieutenant,Thyrood Lieutenant,"0,125",Dirk von Stieg
Tanja,Tanja (Thyrood Lieutenant x Peggy),"0,125",Dirk von Stieg
Red Sandy Ft.W.,Red Sandy Ft.W.,"0,125",Dirk von Stieg
Ginny of Hartsheugh,Ginny of Hartsheugh,"0,125",Dirk von Stieg
Renrut Tinker,Renrut Tinker,"0,125",Dirk von Stieg
Fair Whisper Shandy,Fair Whisper Shandy,"0,125",Dirk von Stieg
Sandylands Truth,GB Ch. Sandylands Truth,"0,125","Dirk von Stieg, Lauterrinn's Dale Sir Wesley"
Arris,Novacroft Arris,"0,125","Donna of Anny's Labs, Dumbledore of Anny's Labs"
Sunshine Queen's Chato,Sunshine Queen's Chato,"0,125","Donna of Anny's Labs, Dumbledore of Anny's Labs"
vom Fresenbrink,Jascha vom Fresenbrink,"0,125","Donna of Anny's Labs, Dumbledore of Anny's Labs"
Cando vom Burgberg,Cando vom Burgberg,"0,125",Doro�s Bennet Fellow for Life
Malenka Nightmare of Fire,Malenka Nightmare of Fire,"0,125",Doro�s Bennet Fellow for Life
Safe Sally vom Masurenweg,Safe Sally vom Masurenweg,"0,125",Doro�s Bennet Fellow for Life
Dee-Fair Sweet Sensation Queen,Dee-Fair Sweet Sensation Queen,"0,125","Doro�s Bennet Fellow for Life, Labstratego Yellow River"
Juliette de Silronray's De Pictet,Juliette de Silronray's De Pictet,"0,125","Doro�s Bennet Fellow for Life, Jost vom Settenbeck"
Keepsake Beau Webster,Keepsake Beau Webster,"0,125","Double Rainbow vom Stuckenbuscher Wald, Fancyful Tramp Charly Brown"
Banners Apple Butter,Banners Apple Butter,"0,125","Double Rainbow vom Stuckenbuscher Wald, Fancyful Tramp Charly Brown"
LU CH Exhibition Man De Saint Urbain,FI UCH INT UCH LU CH Exhibition Man De Saint Urbain,"0,125","Double Rainbow vom Stuckenbuscher Wald, Fancyful Tramp Charly Brown"
Donalbain The Tempest,GB Sh Ch Donalbain The Tempest,"0,125","Double Rainbow vom Stuckenbuscher Wald, Fancyful Tramp Charly Brown"
Donalbain Private Dancer,Donalbain Private Dancer,"0,125","Double Rainbow vom Stuckenbuscher Wald, Fancyful Tramp Charly Brown"
Patriot,Sweettrees Patriot JH,"0,125","Double Rainbow vom Stuckenbuscher Wald, Fancyful Tramp Charly Brown"
Desert Song,Sweettrees Desert Song,"0,125","Double Rainbow vom Stuckenbuscher Wald, Fancyful Tramp Charly Brown"
Keness Ash,Keness Ash,"0,125","Dual's Hope Nicam, Flying Flap Ears Ice Age"
Mars Delight,Bulkworth Mars Delight,"0,125","Dual's Hope Nicam, Flying Flap Ears Ice Age"
Beeholme Patrick,Beeholme Patrick,"0,125","Dual's Hope Nicam, Eagle Owl's Osiris"
Haven Adder,Haven Adder,"0,125","Dual's Hope Nicam, Eagle Owl's Osiris"
Bucktail Frenzey,Bucktail Frenzey,"0,125",Eagle Owl's Osiris
Osgodby Mist,Osgodby Mist,"0,125","Eagle Owl's Osiris, Felice vom Lipperoder Bruch"
Wilcare's Master Of The Hunt,AmCH Wilcare's Master Of The Hunt CD JH,"0,125",Fancyful Tramp Charly Brown
Country River's Bela Bear,Country River's Bela Bear,"0,125",Fancyful Tramp Charly Brown
Wildn'Beauty's Paco Rabanne,Wildn'Beauty's Paco Rabanne,"0,125",Fancyful Tramp Charly Brown
Farnfield Tiramisu JW,Farnfield Tiramisu  JW,"0,125",Fancyful Tramp Charly Brown
Annual's On Guard,SE U(U)CH Annual's On Guard,"0,125",Fancyful Tramp Charly Brown
N S UCh Mambrinos Heidi,N S UCh Mambrinos Heidi,"0,125",Fancyful Tramp Charly Brown
KBHV-98 Mambrinos Veslemoy,N UCH KBHV-98 Mambrinos Veslemoy,"0,125","Fancyful Tramp Charly Brown, Just Bertha von der Tarpenbek"
Scotsburn Kite,Scotsburn Kite,"0,125",Felice vom Lipperoder Bruch
ocolate Buttons of Dunard,Chocolate Buttons of Dunard,"0,125",Felice vom Lipperoder Bruch
Loresho Jell-O,FICH INTCH EECH Loresho Jell-O,"0,125",Fiin Hemuli
Heavy Loader's Dont Worry Be Happy,Heavy Loader's Dont Worry Be Happy,"0,125",Fiin Hemuli
Aprilmist Fletcher,Aprilmist Fletcher,"0,125",Fiin Hemuli
B�kardalens Botilda,SE VCH B�kardalens Botilda,"0,125",Fiin Hemuli
Palabras Exquisite Blue,FI Ch Palabras Exquisite Blue,"0,125",Fiin Hemuli
Bubbling Churchill,Int.Ch./Fin.Ch./Est.Ch. Bubbling Churchill,"0,125","Fiin Hemuli, Just Bertha von der Tarpenbek"
Bramble of Lettermore,Bramble of Lettermore,"0,125","Floyd vom Hirschth�rl, Flynn vom Hirschth�rl"
Blackharn Puddie,Blackharn Puddie,"0,125","Floyd vom Hirschth�rl, Flynn vom Hirschth�rl"
Thornproof Rajill,Thornproof Rajill,"0,125",Flying Flap Ears Duncan
Aristoteles vom Tomberg,Aristoteles vom Tomberg,"0,125",Flying Flap Ears Duncan
Angel von den Rheurdter Kuhlen,Angel von den Rheurdter Kuhlen,"0,125",Flying Flap Ears Duncan
Titan du Vallon de Villard,Titan du Vallon de Villard,"0,125","Flying Flap Ears Duncan, Hof Sommerberg Carlos"
Inka vom Keien Fenn,Inka vom Keien Fenn,"0,125","Flying Flap Ears Duncan, Hof Sommerberg Carlos"
Perkin Flump at Meadowmill,Perkin Flump at Meadowmill,"0,125","Flying Flap Ears Duncan, Hillraisins Black Bertha"
Ndebele Juba,Ndebele Juba,"0,125","Flying Flap Ears Duncan, Hillraisins Black Bertha"
Nellie of Killuney,Nellie of Killuney,"0,125","Flying Flap Ears Duncan, Flying Flap Ears Ice Age"
Sandy of Bellever,Sandy of Bellever,"0,125","Flying Flap Ears Duncan, Flying Flap Ears Ice Age"
Craigfelin Hetty,Craigfelin Hetty,"0,125","Flying Flap Ears Duncan, Flying Flap Ears Ice Age"
Tarnroy Tasse de The,Tarnroy Tasse de The,"0,125","Flying Flap Ears Duncan, Flying Flap Ears Ice Age"
Speycast Teal of Riversway,Speycast Teal of Riversway,"0,125",Flying Flap Ears Ice Age
Follybreeze Harvest,Follybreeze Harvest,"0,125",Frankie's Rolle
Ballyduff Marlborough of Junicott,Ballyduff Marlborough of Junicott,"0,125",Fulmarus Dumpy Boy
Stormside Tally-Ho,Stormside Tally-Ho,"0,125",Fulmarus Dumpy Boy
Roseacre Silver Gilt,Roseacre Silver Gilt,"0,125",Fulmarus Dumpy Boy
Hirsipirtin Neppari,FIN Ch Hirsipirtin Neppari,"0,125",Fulmarus Dumpy Boy
Nerocas Ai Ai Napa,Fin Sh Ch Nerocas Ai Ai Napa,"0,125",Fulmarus Dumpy Boy
Gallybob Kiltie,Gallybob Kiltie,"0,125",Fulmarus Dumpy Boy
Applehill's Indra,Applehill's Indra,"0,125",Fulmarus Dumpy Boy
Bradking Bonny's Charm of Keysun,Bradking Bonny's Charm of Keysun,"0,125","Fulmarus Dumpy Boy, Gismo vom G?nsried"
Roseacre Madigan,Roseacre Madigan,"0,125","Fulmarus Dumpy Boy, Niinivuoren Aamu-Uninen"
Beltarn Diuma Of Newinn,GB ShCh Beltarn Diuma Of Newinn,"0,125","Fulmarus Dumpy Boy, Shadowvale's Tough Lady Hope"
Subar Smart Move,Subar Smart Move,"0,125",Funny Oskar von Gugi's Kate
Alkhamhurst Islay,Alkhamhurst Islay,"0,125",Funny Oskar von Gugi's Kate
Tea Caddy,It.Ch. Trewinnard Tea Caddy,"0,125",Funny Oskar von Gugi's Kate
Green Red and White of Tintagel Winds,Green Red and White of Tintagel Winds,"0,125",Funny Oskar von Gugi's Kate
Boothgates Miss Megan of Balnova,Boothgates Miss Megan of Balnova,"0,125","Funny Oskar von Gugi's Kate, Holli von Gugi's Kate"
Foxrush Anemone of Rocheby,Foxrush Anemone of Rocheby,"0,125","Funny Oskar von Gugi's Kate, Holli von Gugi's Kate"
Dipper of Bueastead,Gb.Ft.Ch. Dipper of Bueastead,"0,125","G�salyckans Gary Cooper, G�salyckans Handsome Boy"
Emma of Llangattock Park,Emma of Llangattock Park,"0,125","G�salyckans Gary Cooper, G�salyckans Handsome Boy"
Hielost of Halamy Ft.W.,Hielost of Halamy Ft.W.,"0,125","G�salyckans Gary Cooper, G�salyckans Handsome Boy"
Styleside Venom,Styleside Venom,"0,125","G�salyckans Gary Cooper, G�salyckans Handsome Boy"
Styleside Cailye,Styleside Cailye,"0,125","G�salyckans Gary Cooper, G�salyckans Handsome Boy"
Shadey Jason Of Abbotsleigh,Shadey Jason Of Abbotsleigh,"0,125","G�salyckans Gary Cooper, G�salyckans Handsome Boy"
allenden Prima,Challenden Prima,"0,125","G�salyckans Gary Cooper, G�salyckans Handsome Boy"
Abbotsleigh Nimrod,GB FTCh Abbotsleigh Nimrod,"0,125","G�salyckans Gary Cooper, G�salyckans Handsome Boy"
Deriolet Deeka,Deriolet Deeka,"0,125","G�salyckans Gary Cooper, G�salyckans Handsome Boy"
Minv?ns Viktoria,Minv?ns Viktoria,"0,125","G�salyckans Gary Cooper, G�salyckans Handsome Boy"
Walter Scott,Minnows Walter Scott,"0,125","G�salyckans Gary Cooper, G�salyckans Handsome Boy"
Like'ims Moira,Like'ims Moira,"0,125","G�salyckans Gary Cooper, G�salyckans Handsome Boy"
Magnum,Novacroft Magnum,"0,125","G�salyckans Gary Cooper, G�salyckans Handsome Boy"
Hinny Cake,Novacroft Hinny Cake,"0,125","G�salyckans Gary Cooper, G�salyckans Handsome Boy"
Minv�ns Teodor,Minv�ns Teodor,"0,125","G�salyckans Gary Cooper, G�salyckans Handsome Boy"
Basthaga Lotus,Basthaga Lotus,"0,125","G�salyckans Gary Cooper, G�salyckans Handsome Boy"
Balnova Sultan,VDH CH DE CH NL CH Balnova Sultan,"0,125",Gent Fynn from the Old Mansion House
Tintagel's Honeymoon,Toplicht Tintagel's Honeymoon,"0,125",Gent Fynn from the Old Mansion House
Starman,Ch Saltmeadow Starman WC,"0,125",Gent Fynn from the Old Mansion House
Tilly's Runaround Sue,Can. Ch Tilly's Runaround Sue,"0,125",Gent Fynn from the Old Mansion House
Fulbeck Fairday of Marfell,Fulbeck Fairday of Marfell,"0,125",Gent Fynn from the Old Mansion House
Boothgates Here Is The News From Donalbain,Boothgates Here Is The News From Donalbain,"0,125",Gent Fynn from the Old Mansion House
Brigburn Zenith,Brigburn Zenith,"0,125",Gent Fynn from the Old Mansion House
